 Occurs     Accum   Support    Confid      Lift                                                                         Sequence
      179      1102 0.8287037       N/A       N/A                                                                             (10) 
      103       103 0.4768519 0.5754190 0.6943604                                                                       (10)->(10) 
       82        82 0.3796296 0.4581006 0.6145945                                                                        (10)->(3) 
      113       113 0.5231481 0.6312849 0.6852138                                                                        (10)->(4) 
      124       190 0.5740741 0.6927374 0.7299087                                                                        (10)->(5) 
      130       261 0.6018519 0.7262570 0.7652269                                                                        (10)->(6) 
      125       190 0.5787037 0.6983240 0.7394019                                                                        (10)->(7) 
      125       125 0.5787037 0.6983240 0.7286859                                                                        (10)->(8) 
      139       489 0.6435185 0.7765363 0.7987231                                                                        (10)->(9) 
      161       966 0.7453704       N/A       N/A                                                                              (3) 
       77        77 0.3564815 0.4782609 0.5771193                                                                        (3)->(10) 
       77        77 0.3564815 0.4782609 0.6416419                                                                         (3)->(3) 
      104       104 0.4814815 0.6459627 0.7011455                                                                         (3)->(4) 
      108       108 0.5000000 0.6708075 0.7068020                                                                         (3)->(5) 
      115       115 0.5324074 0.7142857 0.7526132                                                                         (3)->(6) 
      105       105 0.4861111 0.6521739 0.6905371                                                                         (3)->(7) 
      109       109 0.5046296 0.6770186 0.7064542                                                                         (3)->(8) 
      119       119 0.5509259 0.7391304 0.7602484                                                                         (3)->(9) 
      199      3194 0.9212963       N/A       N/A                                                                              (4) 
      122       122 0.5648148 0.6130653 0.7397883                                                                        (4)->(10) 
       66        66 0.3055556 0.5409836 0.5700120                                                                   (4)->(10)->(5) 
       66        66 0.3055556 0.5409836 0.5700120                                                                   (4)->(10)->(6) 
       70        70 0.3240741 0.5737705 0.5901639                                                                   (4)->(10)->(9) 
      101       101 0.4675926 0.5075377 0.6809201                                                                         (4)->(3) 
      149       362 0.6898148 0.7487437 0.8127067                                                                         (4)->(4) 
       70        70 0.3240741 0.4697987 0.5099322                                                                    (4)->(4)->(4) 
       71        71 0.3287037 0.4765101 0.5020789                                                                    (4)->(4)->(5) 
       76        76 0.3518519 0.5100671 0.5374366                                                                    (4)->(4)->(6) 
       73        73 0.3379630 0.4899329 0.5187525                                                                    (4)->(4)->(7) 
       75        75 0.3472222 0.5033557 0.5252407                                                                    (4)->(4)->(8) 
       88        88 0.4074074 0.5906040 0.6074784                                                                    (4)->(4)->(9) 
      147       358 0.6805556 0.7386935 0.7783307                                                                         (4)->(5) 
       75        75 0.3472222 0.5102041 0.5537894                                                                    (4)->(5)->(4) 
       75        75 0.3472222 0.5102041 0.5375809                                                                    (4)->(5)->(5) 
       80        80 0.3703704 0.5442177 0.5734196                                                                    (4)->(5)->(6) 
       81        81 0.3750000 0.5510204 0.5834334                                                                    (4)->(5)->(7) 
       79        79 0.3657407 0.5374150 0.5607808                                                                    (4)->(5)->(8) 
       83        83 0.3842593 0.5646259 0.5807580                                                                    (4)->(5)->(9) 
      153       596 0.7083333 0.7688442 0.8100993                                                                         (4)->(6) 
       67        67 0.3101852 0.4379085 0.4753178                                                                    (4)->(6)->(4) 
       74        74 0.3425926 0.4836601 0.5096126                                                                    (4)->(6)->(5) 
       77        77 0.3564815 0.5032680 0.5302726                                                                    (4)->(6)->(6) 
       67        67 0.3101852 0.4379085 0.4636678                                                                    (4)->(6)->(7) 
